report_id,display_title,publish_status,source_batch,proposed_analyst_id,proposed_analyst_name,proposed_role,confidence_level,evidence_source,evidence_value,action_recommendation,notes
23d4f22e-f2d9-42f9-a8d9-bdc687e47213,Daily Market Report (09 - 04 - 2025).,review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
4b4c1c1a-a443-4584-8b79-09968ed0cebf,Daily Market Report (10 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
caea1e56-b0a4-4a7a-87be-147a1a2d3eed,Daily Market Report (11 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
177c29d7-df21-457c-aaa4-0758efcfa181,Daily Market Report (14 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
12830405-2fbf-44a9-9ca2-5126da3b589e,Daily Market Report (15 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
04e950eb-5f36-4d95-aa3d-1183069ea7c9,Daily Market Report (16 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
f0b7ce18-2868-409b-b804-c7b68ad9dcf6,Daily Market Report (17 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
c40cf684-d0c4-4447-accd-492e7210913d,Daily Market Report (22 - 04 - 2025).,review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
f6bda957-19c5-4b2b-a83d-9fc533ce04a7,Daily Market Report (24 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
400c92d1-2284-4271-aeb0-32c793b3bd7b,Daily Market Report (25 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
64459d96-3c51-42f8-821a-5c2e41691d52,Daily Market Report (28 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
a10df221-b14c-4709-b1b3-29d369a06ab5,Daily Market Report (29 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
cda8596e-3870-4d1c-865c-90729ce9af7b,Daily Market Report (30 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
37382ab8-57c3-498a-a452-77df4fadee74,Daily Market Report. (23 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
7048978d-6695-439b-bfa2-38c6a262c128,Daily Market Report (01 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
88ecddfc-0fd8-43b9-bc8b-c02e6ed66f79,Daily Market Report (04 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
094a5f7b-892c-4e8e-9af8-ff694be1302b,Daily Market Report (05 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
a1b96bb1-8f24-46a3-92a1-2d36e949a0fd,Daily Market Report (06 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
cf624142-a1bd-4aa2-abb7-cc5ac2c12e17,Daily Market Report (07 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
630df9ae-2bac-4047-a51f-3d0d06a7e74d,Daily Market Report (08 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
a85934c5-ea0a-429e-9133-a0b4ae78ca82,Daily Market Report (08 - 12 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5151ad1d-061f-4755-b1f9-7cab1c07090b,Daily Market Report (08 - 13 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
0e235f42-0083-43a6-9f13-347c37f0d633,Daily Market Report (08 - 14 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
2702315f-7f53-44f7-a2db-75ff1141ca11,Daily Market Report (08 - 15 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
3db05511-5556-442d-8d11-3c9181272748,Daily Market Report (08 - 18 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
85239954-7704-43db-b5a3-c32db4a4666f,Daily Market Report (08 - 20 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
8900bcf3-b1a1-4f07-b98b-67cab0c8692b,Daily Market Report (08 - 21 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
24c7a2ee-e8c6-484a-b2c1-9c6e4f18c6fa,Daily Market Report (08 - 22 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
fab55724-1571-432b-aca3-8f5272381343,Daily Market Report (08 - 25 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5e0314a6-260f-4255-ab48-99fdb3b865d5,Daily Market Report (08 - 26 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
380e62c1-8cc7-419b-8724-cd8c80c8cd25,Daily Market Report (08 - 27 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5ea85552-638c-4d41-a305-69c6a176a368,Daily Market Report (08 - 28 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
c0ec8e22-1020-446d-beeb-cc34cf9b5a1a,Daily Market Report (08 - 29 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
73906d23-bcfe-4354-80f3-dce1995dcc21,Daily Market Report (11 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
2a78671f-512c-469d-9ff9-ecd9ef8dd610,Daily Market Report (12 - 01 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
3cb645e5-f890-4717-a667-b0c4ce420fe5,Daily Market Report (12 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
ea21c955-6eef-4f76-8a09-e29840b7bd2e,Daily Market Report (12 - 03 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
4fd40c30-7bbe-41b6-acc5-491310c67fcf,Daily Market Report (12 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
99b8d200-a7bc-46c6-bac0-85d849caefff,Daily Market Report (12 - 08 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5c7dddb8-90d1-4488-9aba-64760898329d,Daily Market Report (12 - 09 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
50e5d750-6c36-4c40-8125-97accb3a6f8d,Daily Market Report (12 - 10 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
db4046ed-7e46-4689-b1ae-88db448fbd21,Daily Market Report (12 - 11 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
523ba08c-bf5a-4bc4-a1b5-1fd4e3cddbb1,Daily Market Report (12 - 12 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
6d89a7d8-74bc-494f-a5c5-bdca8019da2d,Daily Market Report (12 - 15 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
f96f187b-0caa-4e05-bb48-58bdac64012e,Daily Market Report (12 - 16 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
4c9f37e1-1959-4604-a667-e750ec8699fb,Daily Market Report (12 - 17 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
c7f86e0e-a541-4080-be3e-5787c1243031,Daily Market Report (12 - 18 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
4d18adb2-954a-4953-8dc4-585552482923,Daily Market Report (12 - 19 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
4da3c7fa-8707-4645-9218-351a3cff4eb4,Daily Market Report (12 - 22 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
eee89642-d656-486c-b671-be6b3abc9fe9,Daily Market Report (12 - 23 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
ed1f2d56-61c1-4c8d-b5e5-9d6cd227e234,Daily Market Report (12 - 24 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
25654b7e-1062-4453-9f23-7b6d4e9a2bbd,Daily Market Report (12 - 29 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
24984ddc-6939-4adc-9f08-29b2d62f8aa4,Daily Market Report (12 - 30 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
b70f49f7-56cd-4728-82b4-56f4fa8e2b72,Daily Market Report (12 - 31 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
0d9f89f5-b0dd-43ec-bc0a-bdf30a934669,Daily Market Report (12 - 5 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5cc90fe6-a148-4a55-b657-82613328a27d,Daily Market Report (03 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
0fbff65f-8348-49c4-8058-5ba3567fb140,Daily Market Report (04 - 02 - 2025)...,review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
aeb0cc9d-d6a8-413f-90c6-b60b841e86ac,Daily Market Report (05 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5287f616-ee96-4a60-8524-3d4368ed7d68,Daily Market Report (06 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
c5c34237-c035-48c4-9004-cae8ae89a50e,Daily Market Report (07 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5d4aeae5-2cfa-41a5-a773-a7580625ad0a,Daily Market Report (11 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
ae67eb8b-cd77-4e31-87d5-f8bf6cdbca9e,Daily Market Report (13 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
92e90f5e-0323-4a9f-8463-c4387cc34167,Daily Market Report (14 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
5095ee07-6b1e-427c-aff4-6a486982c820,Daily Market Report (17 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
430ab0a5-5786-4a9a-9e33-63413faa5d47,Daily Market Report (18 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
bf21342f-70ca-440f-967d-77d5308fe06f,Daily Market Report (19 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
f4c93216-9153-4006-bebd-6f114414ff20,Daily Market Report (20 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
7b89cfbf-7ed1-46f3-80e3-100a3778b3c2,Daily Market Report (21 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
93236c26-a4a3-4d50-97ee-87d0cfbc2d71,Daily Market Report (24 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
ef59c34b-6549-44d9-afe0-ccd72dc58e56,Daily Market Report (25 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
39e97eca-3beb-4954-85ab-3c7548b0e861,Daily Market Report (26 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
940d5a11-df02-40e3-a357-42e0154ff4c5,Daily Market Report (27 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
d034b5d7-e63a-4fe0-b2d3-602f4737b6cf,Daily Market Report (28 - 02 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
0b25f80e-261d-4cca-a5a5-cd9b68190d4c,Daily Market Report (01 - 06 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
