canonical_record_key,migration_batch,source_system,source_priority,legacy_id,file_name,normalized_file_name,source_file_path,proposed_storage_bucket,proposed_storage_path,title,report_date,category,analyst_names,tags,summary_source,draft_summary,draft_excerpt,original_url_or_route,file_exists,sha256,duplicate_group,confidence_score,source_confidence_reason,visibility_recommendation,publish_status_recommendation,legacy_public_status,matched_sources,requires_manual_review_reason,review_status,migration_action,migration_notes
codex_first-holdco-h1-25-results_2025-07-30,codex_downloaded_reports_scan,codex_manifest,2,,First holdco H1_25 results.pdf,first-holdco-h1-25-results.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\First holdco H1_25 results.pdf,research_vault,reports/staged/first-holdco-h1-25-results.pdf,First holdco H1 25 results,2025-07-30,equity-research,,equity research; earnings,codex_draft,Legacy equity research document staged for manual review: First holdco H1 25 results.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: First holdco H1 25 results.",,True,f234df9246008fd3d23ac0c4a083514d946d7a168a0e5032a18d50847a980044,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_gtco-fy-25-initial-comments_2026-04-01,codex_downloaded_reports_scan,codex_manifest,2,,GTCO FY 25 Initial Comments.pdf,gtco-fy-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\GTCO FY 25 Initial Comments.pdf,research_vault,reports/staged/gtco-fy-25-initial-comments.pdf,GTCO FY 25 Initial Comments,2026-04-01,research-report,,,codex_draft,Legacy research report document staged for manual review: GTCO FY 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: GTCO FY 25 Initial Comments.",,True,255cb3511d3431737f69c3ed193d4888faacdcb45ddd57fb8a45a8933a700dc2,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_gtco-h1-25-initial-comments_2025-09-23,codex_downloaded_reports_scan,codex_manifest,2,,GTCO H1-25 Initial Comments.pdf,gtco-h1-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\GTCO H1-25 Initial Comments.pdf,research_vault,reports/staged/gtco-h1-25-initial-comments.pdf,GTCO H1 - 25 Initial Comments,2025-09-23,research-report,,,codex_draft,Legacy research report document staged for manual review: GTCO H1 - 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: GTCO H1 - 25 Initial Comments.",,True,7f7e916b2eada00bb821c3c611ad71852a0a4482c8e044766b4bd2e51bc3f6b0,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_lafarge-africa-plc-q1-25-initial-comments_2025-04-25,codex_downloaded_reports_scan,codex_manifest,2,,Lafarge Africa Plc Q1-25 INITIAL  COMMENTS.pdf,lafarge-africa-plc-q1-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Lafarge Africa Plc Q1-25 INITIAL  COMMENTS.pdf,research_vault,reports/staged/lafarge-africa-plc-q1-25-initial-comments.pdf,Lafarge Africa Plc Q1 - 25 INITIAL COMMENTS,2025-04-25,equity-research,,equity research; earnings,codex_draft,Legacy equity research document staged for manual review: Lafarge Africa Plc Q1 - 25 INITIAL COMMENTS.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Lafarge Africa Plc Q1 - 25 INITIAL COMMENTS.",,True,39dc06fd1d8946a4112195bdf2f1142e256215721d5cf96db32c46227a5309c2,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_mtn-nigeria-communications-plc-initial-comments_2025-04-30,codex_downloaded_reports_scan,codex_manifest,2,,MTN Nigeria Communications PLC Initial Comments.pdf,mtn-nigeria-communications-plc-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\MTN Nigeria Communications PLC Initial Comments.pdf,research_vault,reports/staged/mtn-nigeria-communications-plc-initial-comments.pdf,MTN Nigeria Communications PLC Initial Comments,2025-04-30,equity-research,,equity research; telecommunications,codex_draft,Legacy equity research document staged for manual review: MTN Nigeria Communications PLC Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: MTN Nigeria Communications PLC Initial Comments.",,True,35dec367819abc428d56f1ccb3ca1a63bc0ccf1cd6e863126fab5370f2dc03d3,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_nestl-company-update-2025_2026-03-03,codex_downloaded_reports_scan,codex_manifest,2,,Nestlé Company Update 2025.pdf,nestl-company-update-2025.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Nestlé Company Update 2025.pdf,research_vault,reports/staged/nestl-company-update-2025.pdf,Nestlé Company Update 2025,2026-03-03,research-report,,,codex_draft,Legacy research report document staged for manual review: Nestlé Company Update 2025.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Nestlé Company Update 2025.",,True,451d136eb687f315bacfa95cabe81819e070c031d51ce34fc3b89b4f5e6e64e4,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_nestl-nigeria-plc-9m-25-initial-comments_2025-10-29,codex_downloaded_reports_scan,codex_manifest,2,,Nestlé Nigeria Plc 9M-25 Initial Comments.pdf,nestl-nigeria-plc-9m-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Nestlé Nigeria Plc 9M-25 Initial Comments.pdf,research_vault,reports/staged/nestl-nigeria-plc-9m-25-initial-comments.pdf,Nestlé Nigeria Plc 9M - 25 Initial Comments,2025-10-29,equity-research,,equity research,codex_draft,Legacy equity research document staged for manual review: Nestlé Nigeria Plc 9M - 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Nestlé Nigeria Plc 9M - 25 Initial Comments.",,True,ceffbcf4fadbe2a253c9695815aadde06551ae7c75bb09ad8a93d17662278b8d,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_okomu-oil-palm-plc-9m-25-initial-comments_2025-10-20,codex_downloaded_reports_scan,codex_manifest,2,,Okomu Oil Palm Plc 9M-25 Initial Comments.pdf,okomu-oil-palm-plc-9m-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Okomu Oil Palm Plc 9M-25 Initial Comments.pdf,research_vault,reports/staged/okomu-oil-palm-plc-9m-25-initial-comments.pdf,Okomu Oil Palm Plc 9M - 25 Initial Comments,2025-10-20,equity-research,,equity research; oil and gas,codex_draft,Legacy equity research document staged for manual review: Okomu Oil Palm Plc 9M - 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Okomu Oil Palm Plc 9M - 25 Initial Comments.",,True,6ccb509b211b852697bd44e48de2295a636f300df16d7015cdf9b7bd869afab3,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_okomu-oil-palm-plc-fy-25-initial-comments_2026-02-02,codex_downloaded_reports_scan,codex_manifest,2,,Okomu Oil Palm Plc FY-25 Initial Comments.pdf,okomu-oil-palm-plc-fy-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Okomu Oil Palm Plc FY-25 Initial Comments.pdf,research_vault,reports/staged/okomu-oil-palm-plc-fy-25-initial-comments.pdf,Okomu Oil Palm Plc FY - 25 Initial Comments,2026-02-02,equity-research,,equity research; oil and gas,codex_draft,Legacy equity research document staged for manual review: Okomu Oil Palm Plc FY - 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Okomu Oil Palm Plc FY - 25 Initial Comments.",,True,7111df5625e321d630a897c3e3bac3f49c825b87b72aeb8e834c903cd39d5a66,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_presco-plc-fy-25-initial-comments_2026-02-02,codex_downloaded_reports_scan,codex_manifest,2,,Presco Plc FY-25 Initial Comments.pdf,presco-plc-fy-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Presco Plc FY-25 Initial Comments.pdf,research_vault,reports/staged/presco-plc-fy-25-initial-comments.pdf,Presco Plc FY - 25 Initial Comments,2026-02-02,equity-research,,equity research,codex_draft,Legacy equity research document staged for manual review: Presco Plc FY - 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Presco Plc FY - 25 Initial Comments.",,True,581463f01d19edecb9beda8c581e7680b8f739dbe2d65d7a29bb20257359d7c9,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_q1-25-presco-company-update_2025-05-23,codex_downloaded_reports_scan,codex_manifest,2,,Q1-25 Presco Company update.pdf,q1-25-presco-company-update.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Q1-25 Presco Company update.pdf,research_vault,reports/staged/q1-25-presco-company-update.pdf,Q1 - 25 Presco Company update,2025-05-23,equity-research,,equity research; earnings,codex_draft,Legacy equity research document staged for manual review: Q1 - 25 Presco Company update.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Q1 - 25 Presco Company update.",,True,13d336ce6ea7c21cd410eedd88c32b12af97174068b699287a257c431fd7be7b,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_seplat-initial-comments-9m-2025_2025-10-31,codex_downloaded_reports_scan,codex_manifest,2,,Seplat Initial Comments 9M-2025.pdf,seplat-initial-comments-9m-2025.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Seplat Initial Comments 9M-2025.pdf,research_vault,reports/staged/seplat-initial-comments-9m-2025.pdf,Seplat Initial Comments 9M - 2025,2025-10-31,research-report,,,codex_draft,Legacy research report document staged for manual review: Seplat Initial Comments 9M - 2025.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Seplat Initial Comments 9M - 2025.",,True,7f2255c13a855dfb4aba2d8f0ed356ccfe906428931a6ea59d3e3983addeb75f,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_seplat-initial-comments-fy-2024_2025-03-04,codex_downloaded_reports_scan,codex_manifest,2,,Seplat Initial Comments FY-2024.pdf,seplat-initial-comments-fy-2024.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Seplat Initial Comments FY-2024.pdf,research_vault,reports/staged/seplat-initial-comments-fy-2024.pdf,Seplat Initial Comments FY - 2024,2025-03-04,research-report,,,codex_draft,Legacy research report document staged for manual review: Seplat Initial Comments FY - 2024.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Seplat Initial Comments FY - 2024.",,True,5e23c4abbf6a0a17f293b95ebd33192166fbada3ed3332cf6eeb856b47d6671a,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_stanbic-h1-25-initial-comments_2025-09-22,codex_downloaded_reports_scan,codex_manifest,2,,Stanbic H1 25 Initial Comments.pdf,stanbic-h1-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Stanbic H1 25 Initial Comments.pdf,research_vault,reports/staged/stanbic-h1-25-initial-comments.pdf,Stanbic H1 25 Initial Comments,2025-09-22,research-report,,,codex_draft,Legacy research report document staged for manual review: Stanbic H1 25 Initial Comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Stanbic H1 25 Initial Comments.",,True,2c2ec3fc53efb90ba576d1709be507caa57fd14dff1283f905c5cacfc7ce054b,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_uba-h1-25-initial-comments_2025-09-19,codex_downloaded_reports_scan,codex_manifest,2,,UBA H1-25 Initial comments.pdf,uba-h1-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\UBA H1-25 Initial comments.pdf,research_vault,reports/staged/uba-h1-25-initial-comments.pdf,UBA H1 - 25 Initial comments,2025-09-19,research-report,,,codex_draft,Legacy research report document staged for manual review: UBA H1 - 25 Initial comments.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: UBA H1 - 25 Initial comments.",,True,ad0b172cca6d208e057188a2b35d48d93d1bfd3a658f52ac1c73981c7fe12561,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_zenith-bank-initial-comments-h1-25_2025-09-18,codex_downloaded_reports_scan,codex_manifest,2,,Zenith Bank Initial Comments H1 25.pdf,zenith-bank-initial-comments-h1-25.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Zenith Bank Initial Comments H1 25.pdf,research_vault,reports/staged/zenith-bank-initial-comments-h1-25.pdf,Zenith Bank Initial Comments H1 25,2025-09-18,research-report,,banking,codex_draft,Legacy research report document staged for manual review: Zenith Bank Initial Comments H1 25.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Zenith Bank Initial Comments H1 25.",,True,63e95378365db9d41c4a95dcfd8f05416c121fc1a417066ff161d08b153d4ac4,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_zenith-fy-25-initial-comments-new_2026-04-07,codex_downloaded_reports_scan,codex_manifest,2,,Zenith FY-25 Initial Comments_NEW.pdf,zenith-fy-25-initial-comments-new.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Zenith FY-25 Initial Comments_NEW.pdf,research_vault,reports/staged/zenith-fy-25-initial-comments-new.pdf,Zenith FY - 25 Initial Comments NEW,2026-04-07,research-report,,,codex_draft,Legacy research report document staged for manual review: Zenith FY - 25 Initial Comments NEW.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Zenith FY - 25 Initial Comments NEW.",,True,1dbd5589cc0a1e22b63a4093633c6f439f173033572eaeee60e76105cc226d73,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_daily-market-report-02-04-2025_2025-04-02,codex_downloaded_reports_scan,codex_manifest,2,,Daily Market Report (02-04-2025).pdf,daily-market-report-02-04-2025.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\DMR\2025\April\Daily Market Report (02-04-2025).pdf,research_vault,reports/staged/daily-market-report-02-04-2025.pdf,Daily Market Report (02 - 04 - 2025),2025-04-02,research-report,,,codex_draft,Legacy research report document staged for manual review: Daily Market Report (02 - 04 - 2025).,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Daily Market Report (02 - 04 - 2025).",,True,3ff715506d9cae8884e018964589cbeabd1940ac1de7487878ba3ef7921355dd,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_daily-market-report-03-04-2025_2025-04-03,codex_downloaded_reports_scan,codex_manifest,2,,Daily Market Report (03-04-2025).pdf,daily-market-report-03-04-2025.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\DMR\2025\April\Daily Market Report (03-04-2025).pdf,research_vault,reports/staged/daily-market-report-03-04-2025.pdf,Daily Market Report (03 - 04 - 2025),2025-04-03,research-report,,,codex_draft,Legacy research report document staged for manual review: Daily Market Report (03 - 04 - 2025).,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Daily Market Report (03 - 04 - 2025).",,True,dd3e8bd2057af228a4ee1a93b4ee9eca491c48e897f7bbc9f6ab38a2e4467db0,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_daily-market-report-04-04-2025_2025-04-04,codex_downloaded_reports_scan,codex_manifest,2,,Daily Market Report (04-04-2025).pdf,daily-market-report-04-04-2025.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\DMR\2025\April\Daily Market Report (04-04-2025).pdf,research_vault,reports/staged/daily-market-report-04-04-2025.pdf,Daily Market Report (04 - 04 - 2025),2025-04-04,research-report,,,codex_draft,Legacy research report document staged for manual review: Daily Market Report (04 - 04 - 2025).,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Daily Market Report (04 - 04 - 2025).",,True,1a084dd0a5957343e38c60487d5f56007df4f052ead3562add35b4e8f2ca8e0e,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_daily-market-report-07-04-2025_2025-04-07,codex_downloaded_reports_scan,codex_manifest,2,,Daily Market Report (07-04-2025).pdf,daily-market-report-07-04-2025.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\DMR\2025\April\Daily Market Report (07-04-2025).pdf,research_vault,reports/staged/daily-market-report-07-04-2025.pdf,Daily Market Report (07 - 04 - 2025),2025-04-07,research-report,,,codex_draft,Legacy research report document staged for manual review: Daily Market Report (07 - 04 - 2025).,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Daily Market Report (07 - 04 - 2025).",,True,348c1f368770bc5d9661bb3891d9a0b0db6a45c4694d5b0c4a0ba48b5e94804f,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
